a1,a2,a3,a4,a5,a6,a7,label
0.22,-8.08,0.52,0.29,-0.03,0.11,15054844.88,1
0.07,-2.12,1.14,0.1,0.23,-0.73,6900641.9,1
0.04,1.41,0.76,0.06,0.25,0.01,12743625.71,1
0.07,4.82,0.63,0.22,0.13,0.3,28490820.95,1
0.33,1.02,0.84,0.13,0.14,0.1,11167586.33,1
0.33,-0.33,0.91,0,0.06,-0.13,11353888.57,1
0.09,-2.26,1.28,0.15,0.31,-0.37,31081201.29,1
0.11,1.79,0.95,0.02,0.23,-0.03,13643274.29,1
0.18,3.12,0.64,0.2,0.54,0.2,8255010.16,1
0.18,-0.01,0.92,0.04,0.16,-0.15,9588762.86,1
0.09,128.88,0.14,0.47,0.23,0.08,30741418.1,1
0.03,2.72,0.76,0.04,0.26,0.17,14552957.14,1
0.12,1.86,0.77,0.05,0.14,0.09,31539630.48,1
0.33,-4.03,0.96,0.15,-0.06,-0.15,7574876.19,1
0.17,1.54,0.71,0.03,0.34,0.03,16640915.97,1
0.34,-0.82,0.84,0.03,0.06,-0.01,26395044.32,1
0.11,0.73,0.88,0.09,0.45,0.03,20617010.48,1
0.15,0.49,0.75,0.07,0.13,-0.03,12474439.52,1
0.03,1.64,0.89,0.01,0.28,-0.06,7912400.74,1
0.49,-1.26,0.96,0.04,0.83,-0.24,51458690.48,1
0.43,2.68,0.86,0.06,0.24,-0.02,12636152.38,1
0.14,0.86,0.75,0.02,0.34,0.13,8079845.71,1
0.43,-2.77,0.64,0.18,-0.17,-0.1,76467968.57,1
1.09,1.18,0.8,0.02,0.15,0.06,7644071.43,1
0.29,3.42,1.02,0.02,0.5,-0.33,8145690.67,1
0.12,1.26,0.95,0.03,0.18,0.02,14386632.38,1
0.5,0.82,0.78,0.05,0.34,0.11,7684210.53,1
3.03,0.87,0.75,0.04,0.13,0.13,7721174.29,1
0.12,0.84,0.79,0.1,0.13,-0.01,27193191.14,1
0.05,-0.83,0.95,0.1,0.07,-0.09,35787687.62,1
0.12,-6.57,0.33,0.75,0.05,-0.6,27434265.71,1
0.01,-11.71,0.94,0.07,-0.26,-0.12,14944614.96,1
0.32,-3.76,0.99,0.19,0.05,-0.3,69472762.7,1
0.01,-0.1,0.81,0.01,0.26,-0.46,27605004.76,1
0,1.9,0.79,0.09,0.18,0.04,11248236.19,1
0.25,-2.56,0.84,0.02,0.06,-0.09,16719679.59,1
0.05,1.47,0.81,0.53,0.26,0.12,16903257.62,1
0.01,2.46,0.71,0.07,0.26,0.14,10222857.14,1
0.31,1.34,0.7,0.07,0.19,0.14,7128695.29,1
0.14,-2,1.13,0.16,0.52,-0.34,22044345.34,1
0.52,1.56,0.7,0.01,0.26,0.14,27167572.38,1
0.19,-0.74,0.93,0.05,-0.09,-0.2,7626865.19,1
0.26,3.58,0.8,0.06,0.43,0.09,12485615.24,1
0.14,1,0.9,0.23,0.53,0.07,12076425.71,1
0.27,2.36,0.85,0.08,0.24,-0.04,17326503.81,1
0.38,2.55,0.71,0.02,0.4,0.01,7166003.81,1
0.17,1.04,0.88,0.05,0.17,0.02,9788068.33,1
0.35,-2.86,0.85,0.08,0.15,-0.11,7011598.34,1
0.01,-0.17,0.83,0.13,0.09,0.05,7734081.26,1
0.36,-3.37,0.95,0.03,1.03,-0.2,16420519.05,1
0.2,-0.67,0.82,0,0.06,0.07,12131349.52,1
65.38,-1.65,0.82,0,0.01,0.18,7160117.27,1
15.65,10.54,0.99,0,0.01,-0.01,28327183.81,1
0.59,-2.31,1.12,0.09,-0.21,-1,7889222.86,1
0.13,1.91,1.24,0.07,0.57,-0.28,19693337.14,1
0.52,1.88,0.73,0.07,0.37,0.1,17934112.38,1
2.01,-3.28,1.04,0.04,0.06,-0.05,100396066.7,1
0.12,-166.25,0.98,0,0.37,0,14878765.71,1
0.27,4.03,0.85,0.05,0.27,0.03,32216548.57,1
0.58,-1.37,0.68,0.56,0.09,-0.13,63147942.86,1
0.17,2.08,0.78,0.01,0.57,0.12,13170693.44,1
0.89,-0.81,0.92,0.09,0.04,-0.58,19185253.33,1
0.21,1.86,0.81,0.1,0.24,0.04,6752240,1
0.13,-2.81,0.9,0.1,0.2,-0.12,12554747.62,1
0.11,0.19,1.18,0.01,0.12,-0.22,9500876.19,1
0.1,1.16,0.65,0.23,0.15,0.15,12192332.41,1
0.36,0.95,0.79,0,0.19,-0.06,8320433.06,1
0.33,2.85,0.69,0.04,0.16,0.14,110055378.6,1
0.04,-0.79,0.63,0.09,-0.46,-0.3,10713411.82,1
0.11,2.41,0.85,0,0.5,0.03,13564289.01,1
0.09,-4.98,1.45,0.1,-0.2,-0.59,7750420,1
0.08,3.14,1.3,0.01,0.22,-0.34,9043896.19,1
0.22,1.88,0.9,0.01,0.27,0.07,88430320.41,1
0.44,-4.45,0.84,0.1,-0.06,0.01,24521691.43,1
0.13,-0.55,0.99,0.06,0.01,-0.18,17513618.65,1
0.15,-1.59,0.44,0.47,0.03,0,11509243.77,1
0.07,1.39,0.83,0.04,0.37,0.14,34744463.81,1
232.8,-2.03,1.23,0,0,-0.25,8275744.76,1
0.31,3.1,0.66,0.05,0.21,0.03,11890793.17,1
0.03,1.79,0.71,0.01,0.32,0.19,11256326.87,1
0.27,-2.17,0.88,0.06,0.01,-0.19,28028916.9,1
0.12,3.48,0.71,0.02,0.32,0.09,7970684.76,1
0.05,-1.71,0.66,0.22,0.17,-0.26,7214753.33,1
0.16,0.52,0.97,0.03,0.2,-0.26,9766652.82,1
0.16,3.25,0.97,0.01,0.93,-0.1,7681123.81,1
0.11,2.63,0.75,0.02,0.28,0.09,20811013.85,1
49.34,-63.87,0.97,0,0.01,-0.02,13735466.3,1
0.38,0.92,0.81,0,0.14,0.07,11755248.38,1
0.44,3.9,0.75,0.01,0.41,0.11,17827027.62,1
0.09,-0.41,0.93,0.03,0.01,-0.09,11761454.29,1
0.05,2.54,0.75,0.05,0.47,0.15,10173429.52,1
0.49,-0.93,0.82,0.01,0.11,0.04,7015830.48,1
0,3.28,0.97,0.02,0.68,-0.18,10352079.05,1
0.17,0.42,0.84,0.2,0.19,-0.1,36887631.58,1
0.28,2.33,0.83,0.17,0.35,0.04,11850091.43,1
0.19,0.22,0.99,0.03,0.41,-0.2,8400958.1,1
0.08,3.63,0.9,0.02,0.75,-0.03,7878205.71,1
0.19,2.56,0.81,0.01,0.46,-0.05,17511033.33,1
0.52,0.53,0.84,0.01,0.51,-0.09,11559790.48,1
0.36,2.56,0.79,0.1,1.05,0.17,12675417.14,1
0.26,2.48,0.69,0.01,0.29,0.1,9700179.13,1
0.26,2.74,0.72,0.08,0.16,0.07,9027521.9,1
0.01,1.65,0.64,0,0.12,0.04,11080930.75,1
317.2,-0.05,1.31,0,0,-0.34,10917195.24,1
0.24,-0.63,0.97,0.06,0.05,0.05,382511650.5,1
0.03,-0.71,0.88,0.1,0.01,-0.2,109201125.7,1
0.27,6.34,0.36,0.34,0.1,0.08,31981580,1
0.62,-4.68,0.71,0.03,0.37,-0.19,19878762.7,1
0.91,-9.64,0.71,0.12,-0.11,-0.68,10329947.62,1
0.17,-2.62,0.82,0.03,0.01,0.06,44098878.12,1
0.48,-1.56,0.97,0.01,0.12,-0.45,7356601.11,1
0.06,1.22,0.88,0.07,0.67,0.06,7604835.64,1
0.32,-3.19,0.72,0.5,0.01,-0.18,31423879.05,1
0.11,4.92,1.05,0.04,0.89,-0.42,13302861.5,1
0.22,0.03,1.46,0.06,0.02,-0.55,19646972.38,1
0.42,2.23,0.27,0.7,0.02,0,183612210.5,1
0,2.7,0.5,0,0.13,0.42,8132089.52,1
0.32,2.33,0.81,0.07,0.28,0.1,13088151.43,1
0.17,3.98,0.74,0.38,0.24,0.05,37518166.67,1
0.28,7.23,0.66,0.19,0.43,0.15,43373783.01,1
0.22,4.15,0.49,0.05,0.33,-0.02,8864650.48,1
0.94,0.11,0.62,0.01,0.11,0.12,7008689.52,1
0.44,-0.5,0.93,0.09,0.2,-0.03,10127030.48,1
0.18,6.61,0.76,0.05,0.6,0.2,21739382.86,1
0.26,45.77,0.91,0.33,1.11,0.07,22819762.86,1
0.14,1.02,0.93,0.3,0.42,-1.6,43219071.43,1
0.07,5.39,0.84,0.22,0.36,0.06,9232920.95,1
0.1,1.69,0.64,0.24,-0.05,-0.11,43578782.86,1
0.33,-3.41,1.01,0,0.25,-0.3,7980796.19,1
0.08,3.08,0.81,0.01,0.28,-0.02,10517017.14,1
0.05,0.52,0.82,0,0.08,0.02,15609840,1
0.62,3.09,0.76,0.01,0.31,0.04,29369628.81,1
0.39,1.31,0.87,0.01,0.15,-0.12,9255429.36,1
0.25,1.49,0.79,0.01,0.36,0.14,11771616.19,1
0.41,0.53,0.56,0.01,0.39,0.3,7068338.1,1
1.91,1.38,1.07,0.01,0.1,-0.07,118651491.4,1
0.01,-5.97,1.66,0.04,1.04,-1.86,14928992.38,1
3.03,-1.63,0.9,0.01,0.02,-0.04,16223416.19,1
0.51,1.46,0.75,0.01,0.11,0.12,15745691.43,1
0.17,2.69,0.81,0.05,0.31,0.1,10557384.76,1
0.33,2.81,0.77,0.06,0.33,0.04,9932200.37,1
0.82,4.58,0.99,0,0.37,-0.06,24673903.81,1
0.31,-0.56,1.15,0.03,0.39,-0.17,63210584.76,1
0.2,3,0.76,0.05,0.18,0.03,15198885.5,1
0.14,2.39,0.74,0.13,0.35,0.23,16104764.76,1
0.06,8.82,0.54,0.04,0.71,0.15,11238971.43,1
0.21,2.63,0.84,0.03,0.42,0.03,27763433.33,1
0.08,1.54,0.78,0.04,0.19,0.07,9465714.29,1
0.24,-2.21,0.72,0.36,-0.08,-0.14,8160577.1,1
0.48,1.53,0.89,0.01,0.29,0.02,23219324.76,1
0.24,3.52,0.96,0.04,0.46,-0.09,19838943.81,1
0.02,3.42,0.76,0.05,0.48,0.07,8142115.24,1
0.02,-0.13,0.79,0.01,0.56,-0.11,11548327.62,1
0.13,-1.67,0.69,0.01,0.07,-0.33,17290160.95,1
8.78,1.1,0.96,0.09,0.03,0,42545369.34,1
18.58,-1.32,1.01,0.02,0,-0.16,42150139.43,1
0.11,1.75,0.7,0.09,0.15,0.11,8356570.64,1
0.11,1.02,0.84,0.09,0.11,0.05,80600673.33,1
0.13,6.5,0.77,0.01,0.64,0.17,23634382.86,1
0.05,3.36,0.77,0.39,0.22,0.08,44572963.99,1
0.29,0.68,0.87,0.03,0.13,0.08,12879779.05,1
0.46,3.85,0.96,0.03,0.4,0.03,8827608.57,1
0.46,1.47,0.81,0.12,0.15,-0.07,13058261.31,1
0.14,-1.15,0.59,0.22,0.08,-0.07,42429774.29,1
0.14,-0.87,1.02,0.1,0.11,-0.19,49315232.38,1
0.14,4.71,0.79,0.31,0.41,0.01,8955162.51,1
0.04,5.52,0.84,0.01,0.14,0.13,16417359.19,1
0.11,-20.84,1.9,0.04,0.93,-1.2,50064367.5,1
0.36,4.01,0.76,0.01,0.51,0.09,10332742.38,1
0.31,-4.07,0.85,0.1,-0.08,-0.39,15549380.95,1
0.16,4.23,0.68,0,0.35,0.11,20859855.24,1
3.35,0.54,0.81,0.18,0.06,-0.05,24532817.14,1
0.01,105.85,0.47,0.54,0.74,0.5,25440301.94,1
0.21,1.88,0.98,0.14,0.26,-0.05,16033080,1
0.25,8.91,0.73,0.04,0.6,0.17,23341005.54,1
0.15,0.75,0.67,0.08,0.15,0.1,7538828.57,1
0.1,1.76,0.81,0.06,0.16,0.04,11759369.52,1
0.42,6.29,0.71,0.09,0.25,0.12,38146476.19,1
0.45,1.92,1.18,0.02,0.39,-0.48,9577727.62,1
0.06,-3.54,1.33,0.54,0.17,-0.92,9659296.4,1
0.81,-9.18,0.88,0.04,-0.76,-0.5,24971874.42,1
0.02,2.63,0.64,0.23,0.41,0.17,16146140,1
0.43,-4.45,0.9,0.25,-0.26,-0.31,44032100,1
0.38,0.89,0.8,0.01,0.22,-0.13,8203384.76,1
0.12,1.38,0.73,0.15,0.22,0.07,61251338.1,1
0.24,-1.8,1.03,0.08,-0.05,-0.25,13823974.15,1
0.29,1.96,0.99,0,0.63,-0.18,7588698.1,1
0.31,4.46,0.75,0.01,0.31,0.15,34053609.52,1
0.17,0.85,0.6,0.12,0.14,0.12,11562093.33,1
0.42,3.69,0.69,0.21,0.26,0.04,18081450.6,1
0.03,2.03,0.85,0.05,0.27,-0.03,11840734.29,1
0.09,5.86,0.81,0.1,0.29,0.1,33450525.39,1
0.06,2.73,0.75,0.09,0.42,0.15,31878784.76,1
0.09,1.94,0.77,0.14,0.21,0.08,11522740.95,1
0.87,-26.15,0.54,0.09,0.12,-0.56,7461010.16,1
0.35,-0.44,0.97,0,0.01,-0.18,8685105.71,1
0.18,-4.89,1.34,0.03,-0.2,-5.68,7417263.81,1
0.01,5.76,0.8,0.02,0.32,0.02,11546738.69,1
0.56,0.97,0.85,0.08,0.25,0.01,7052331.49,1
0.09,-0.28,1.11,0.01,0.21,-0.25,14213748.57,1
0.02,-3.17,1.11,0.17,0.11,-0.35,10619931.67,1
0.43,0.58,0.86,0.29,0.06,0.01,9916789.52,1
0.09,3.14,0.29,0.4,0.19,0.46,28154814.29,1
0.01,3.55,0.81,0.21,0.15,0.02,8899580.95,1
0.41,3.33,0.7,0.04,0.36,-0.07,8862849.52,1
0.08,1.95,0.77,0.03,0.32,0.09,9962642.86,1
0.25,-3.38,0.82,0.03,-0.25,-0.1,19513974.15,1
0.1,1.96,0.86,0.02,0.28,0.05,17921796.19,1
0.33,1.31,0.83,0.23,0.78,0.05,11418132.38,1
0.24,1.36,0.9,0.03,0.15,0.01,30451418.1,1
0.16,7.32,0.55,0.06,0.67,0.07,10069733.33,1
0.04,5.98,0.48,0.09,0.29,0.23,16775923.81,1
0.08,-6.77,0.5,0.04,-0.16,-0.13,15526914.29,1
0.27,0.69,0.68,0.03,0.12,0.13,7353723.81,1
0.11,-1.19,1.06,0.27,0.42,-0.46,8072834.29,1
2.66,2.53,0.96,0.02,0.07,0,13274062.86,1
0.21,1.72,0.7,0.04,0.48,-0.22,80990119.11,1
0.11,-0.06,0.93,0.07,0.09,-0.13,9425485.69,1
0.11,10.2,0.4,0.4,0.68,0.13,11797045.71,1
0.34,3.21,0.45,0.06,0.19,0.17,18603448.57,1
0.17,4.3,0.7,0.29,0.49,0.1,44483765.47,1
0.43,7.53,0.52,0.19,0.22,0.16,24824648.57,1
0.14,5.53,0.77,0.07,0.13,0.18,38111438.1,1
0.13,-0.76,0.85,0.06,0.1,0,9570640.81,1
0.1,5.2,0.7,0.06,0.38,0.02,13763248.38,1
0.04,0.07,0.91,0,0.19,0.02,9397781.9,1
0.13,-2.59,1.08,0.12,0.23,-0.22,8754764.54,1
0.52,3.25,0.69,0.12,0.44,-0.06,35605904.76,1
0.54,1.42,0.9,0.05,0.36,0.03,7022845.8,1
0.06,3.8,0.81,0.06,0.18,0.08,18343310.48,1
0.2,3.53,0.58,0.05,0.27,0.16,54612753.33,1
0.07,5.19,0.88,0.04,0.73,-0.07,11040640.81,1
0.09,0.71,0.88,0,0.28,0.01,11810027.62,1
0.17,-4.01,1.21,0.02,0.67,-0.23,17888960.95,1
0.51,-1.63,1.24,0.04,0.19,-0.39,18649715.6,1
0.09,5.74,0.73,0.25,0.39,0.24,15140854.29,1
