@relation horse-colic.ORIG-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last

@attribute surgery numeric
@attribute Age numeric
@attribute 'Hospital Number' numeric
@attribute 'rectal temperature' numeric
@attribute pulse numeric
@attribute 'respiratory rate' numeric
@attribute 'temperature of extremities' numeric
@attribute 'peripheral pulse' numeric
@attribute 'mucous membranes' numeric
@attribute 'capillary refill time' numeric
@attribute pain numeric
@attribute peristalsis numeric
@attribute 'abdominal distension' numeric
@attribute 'nasogastric tube' numeric
@attribute 'nasogastric reflux' numeric
@attribute 'nasogastric reflux PH' numeric
@attribute 'rectal examination - feces' numeric
@attribute abdomen numeric
@attribute 'packed cell volume' numeric
@attribute 'total protein' numeric
@attribute 'abdominocentesis appearance' numeric
@attribute 'abdomcentesis total protein' numeric
@attribute outcome numeric
@attribute 'surgical lesion' numeric
@attribute 'site of lesion' numeric
@attribute 'type of lesion' numeric
@attribute 'subtype of lesion' numeric
@attribute pathology_cp_data {2,1}

@data
0,0,0,38.5,66,28,0,0,3,0,0,0,0,1,1,4.962319,0,0,45,8.4,0,2.94812,0,0,0,0,0,2
1,0,1,39.2,88,20,0,1,0,1,1,0,1,1,1,4.962319,1,1,50,85,0,2,1,0,1,0,0,2
0,0,2,38.3,40,24,1,1,1,1,1,1,2,1,1,4.962319,2,2,33,6.7,0,2.94812,2,0,2,0,0,1
1,1,3,39.1,164,84,2,1,2,0,2,0,0,0,0,5,0,0,48,7.2,1,5.3,0,1,1,0,0,1
0,0,4,37.3,104,35,0,1,2,0,1,1,2,1,1,4.962319,1,0,74,7.4,0,2.94812,0,0,3,0,0,2
0,0,5,38.134448,70.75731,30.521886,3,1,1,1,2,1,1,1,1,4.962319,0,3,45.656798,24.771077,0,2.94812,2,0,2,0,0,2
1,0,6,37.9,48,16,1,1,3,1,1,1,3,0,1,4.962319,0,0,37,7,0,2.94812,2,1,4,0,0,2
1,0,7,38.134448,60,30.521886,0,1,3,1,1,0,1,1,1,4.962319,0,4,44,8.3,0,2.94812,0,1,1,0,0,2
0,0,8,38.134448,80,36,0,2,1,1,3,0,0,1,1,4.962319,0,0,38,6.2,0,2.94812,1,1,5,0,0,2
0,1,9,38.3,90,30.521886,1,1,3,1,0,1,2,1,1,4.962319,0,0,40,6.2,2,2.2,2,0,2,0,0,1
1,0,10,38.1,66,12,0,0,4,1,1,1,2,1,1,3,3,0,44,6,0,3.6,2,1,6,0,0,1
0,0,11,39.1,72,52,3,1,5,1,2,2,1,0,1,4.962319,1,4,50,7.8,0,2.94812,2,1,7,0,0,2
1,0,12,37.2,42,12,3,1,3,1,1,1,3,2,1,4.962319,1,0,45.656798,7,0,2.94812,2,0,8,0,0,2
0,1,13,38,92,28,1,1,5,1,4,1,1,2,1,7.2,2,2,37,6.1,2,2.94812,0,0,2,0,0,1
1,0,14,38.2,76,28,0,1,3,1,1,0,2,1,0,4.962319,1,4,46,81,2,2,2,1,9,0,0,2
1,0,15,37.6,96,48,0,1,0,1,0,1,3,1,2,4.5,1,0,45,6.8,0,2.94812,0,1,10,0,0,2
1,1,16,38.134448,128,36,0,0,0,0,3,0,3,2,1,4.962319,1,0,53,7.8,1,4.7,0,0,11,0,0,1
0,0,17,37.5,48,24,0,1,3,1,1,1,2,1,1,4.962319,1,0,45.656798,24.771077,0,2.94812,2,0,2,0,0,2
1,0,18,37.6,64,21,1,1,5,1,2,1,2,0,1,4.962319,3,0,40,7,2,2.94812,2,1,12,0,0,1
0,0,19,39.4,110,35,2,0,2,1,1,1,3,1,1,4.962319,1,0,55,8.7,0,2.94812,2,0,2,0,0,2
1,0,20,39.9,72,60,1,1,4,0,0,0,0,2,1,4.962319,1,4,46,6.1,0,2.94812,2,1,7,0,0,2
0,0,21,38.4,48,16,1,1,3,1,4,1,2,1,2,5.5,1,3,49,6.8,0,2.94812,2,0,2,0,0,2
1,0,22,38.6,42,34,3,1,0,1,2,1,2,1,1,4.962319,2,0,48,7.2,0,2.94812,2,1,13,0,0,2
1,1,23,38.3,130,60,0,0,3,1,2,0,2,1,1,4.962319,1,0,50,70,0,2.94812,2,1,13,0,0,2
1,0,24,38.1,60,12,0,0,1,1,1,0,3,2,0,2,1,0,51,65,0,2.94812,2,1,13,0,0,2
0,0,25,37.8,60,42,0,1,3,1,1,1,2,1,1,4.962319,1,0,45.656798,24.771077,0,2.94812,2,0,2,0,0,2
1,0,26,38.3,72,30,2,0,1,0,1,1,3,1,1,4.962319,0,0,43,7,0,3.9,2,1,13,0,0,1
1,0,27,37.8,48,12,0,1,3,1,1,1,1,0,1,4.962319,2,3,37,5.5,0,1.3,2,0,14,0,0,1
1,0,28,38.134448,70.75731,30.521886,0,1,3,1,1,1,2,1,1,4.962319,1,0,45.656798,24.771077,0,2.94812,0,0,3,0,0,2
0,0,29,37.7,48,30.521886,3,1,3,1,4,2,2,0,1,4.962319,1,0,45,76,0,2.94812,2,0,2,0,0,2
0,0,30,37.7,96,30,0,0,0,0,0,0,0,2,0,4,1,0,66,7.5,0,2.94812,0,1,12,0,0,2
0,0,31,37.2,108,12,0,0,0,0,2,0,1,1,2,6,0,3,52,8.2,1,7.4,1,1,15,0,0,1
1,0,32,37.2,60,30.521886,3,1,3,1,1,1,3,1,1,4.962319,1,0,43,6.6,0,2.94812,2,1,16,0,0,2
1,0,33,38.2,64,28,1,1,3,1,1,2,2,1,1,4.962319,1,4,49,8.6,0,6.6,2,1,1,0,0,1
1,0,34,38.134448,100,30,0,0,0,0,0,0,0,2,2,4.962319,1,4,52,6.6,0,2.94812,2,1,17,0,0,2
0,0,35,38.134448,104,24,2,0,1,0,3,0,3,1,2,4.962319,1,1,73,8.4,0,2.94812,1,1,18,0,0,2
0,0,36,38.3,112,16,0,0,4,0,1,1,2,0,0,4.962319,1,0,51,6,0,1,1,0,19,0,0,1
1,0,37,37.8,72,30.521886,0,0,3,1,0,1,2,1,1,4.962319,2,2,56,80,2,2,2,1,13,0,0,2
0,0,38,38.6,52,30.521886,1,1,3,1,1,1,1,0,1,4.962319,2,3,32,6.6,2,5,2,0,2,0,0,1
1,1,39,39.2,146,96,0,1,3,1,1,1,2,1,1,4.962319,1,0,45.656798,24.771077,0,2.94812,0,1,20,0,0,2
1,0,40,38.134448,88,30.521886,0,0,2,0,0,1,3,0,2,4.962319,1,0,63,6.5,1,2.94812,0,1,12,0,0,2
0,1,41,39,150,72,0,1,3,1,1,1,2,1,1,4.962319,1,0,47,8.5,0,0.1,2,1,21,0,0,1
0,0,42,38,60,12,0,1,1,1,1,1,2,0,1,4.962319,3,1,47,7,0,2.94812,2,0,13,0,0,2
1,0,43,38.134448,120,30.521886,0,2,0,1,3,0,0,0,1,4.962319,1,0,52,67,0,2,1,1,5,0,0,2
1,0,44,35.4,140,24,0,0,0,0,3,0,2,1,1,4.962319,1,0,57,69,1,2,1,1,5,0,0,2
0,0,45,38.134448,120,30.521886,2,0,0,0,0,0,0,0,1,4.962319,1,0,60,6.5,1,2.94812,0,1,5,0,0,2
1,0,46,37.9,60,15,0,1,0,0,0,0,0,1,0,4.962319,1,0,65,7.5,0,2.94812,2,1,22,0,0,1
0,0,47,37.5,48,16,1,1,3,1,4,2,2,0,1,4.962319,2,0,37,6.5,0,2.94812,2,0,2,0,0,2
1,0,48,38.9,80,44,0,0,1,0,2,1,3,1,0,7,0,2,54,6.5,1,2.94812,0,1,18,0,0,2
