@relation horse-colic-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last

@attribute surgery numeric
@attribute Age numeric
@attribute rectal_temperature numeric
@attribute pulse numeric
@attribute respiratory_rate numeric
@attribute temp_extremities numeric
@attribute peripheral_pulse numeric
@attribute mucous_membranes numeric
@attribute capillary_refill_time numeric
@attribute pain numeric
@attribute peristalsis numeric
@attribute abdominal_distension numeric
@attribute nasogastric_tube numeric
@attribute nasogastric_reflux numeric
@attribute nasogastric_reflux_PH numeric
@attribute rectal_examination numeric
@attribute abdomen numeric
@attribute packed_cell_volume numeric
@attribute total_protein numeric
@attribute abdominocentesis_appearance numeric
@attribute abdomcentesis_total_protein numeric
@attribute outcome numeric
@attribute class {yes,no}

@data
1,0,38.5,66,28,2,2,0,1,4,3,3,1,0,4.962319,2,4,45,8.4,1,2.94812,1,no
0,0,39.2,88,20,2,0,3,0,2,3,1,1,0,4.962319,3,1,50,85,1,2,2,no
1,0,38.3,40,24,0,0,2,0,2,2,0,1,0,4.962319,0,0,33,6.7,1,2.94812,0,no
0,1,39.1,164,84,3,0,5,1,1,3,3,0,1,5,2,4,48,7.2,2,5.3,1,yes
1,0,37.3,104,35,2,0,5,1,2,2,0,1,0,4.962319,3,4,74,7.4,1,2.94812,1,no
1,0,38.134448,70.75731,30.521886,1,0,2,0,1,2,1,1,0,4.962319,2,2,45.656798,24.771077,1,2.94812,0,no
0,0,37.9,48,16,0,0,0,0,2,2,2,0,0,4.962319,2,4,37,7,1,2.94812,0,yes
0,0,38.134448,60,30.521886,2,0,0,0,2,3,1,1,0,4.962319,2,3,44,8.3,1,2.94812,1,yes
1,0,38.134448,80,36,2,3,2,0,3,3,3,1,0,4.962319,2,4,38,6.2,1,2.94812,2,yes
1,1,38.3,90,30.521886,0,0,0,0,4,2,0,1,0,4.962319,2,4,40,6.2,0,2.2,0,no
0,0,38.1,66,12,2,2,4,0,2,2,0,1,0,3,1,4,44,6,1,3.6,0,yes
1,0,39.1,72,52,1,0,1,0,1,0,1,0,0,4.962319,3,3,50,7.8,1,2.94812,0,yes
0,0,37.2,42,12,1,0,0,0,2,2,2,2,0,4.962319,3,4,45.656798,7,1,2.94812,0,no
1,1,38,92,28,0,0,1,0,0,2,1,2,0,7.2,0,0,37,6.1,0,2.94812,1,no
0,0,38.2,76,28,2,0,0,0,2,3,0,1,1,4.962319,3,3,46,81,0,2,0,yes
0,0,37.6,96,48,2,0,3,0,4,2,2,1,2,4.5,3,4,45,6.8,1,2.94812,1,yes
0,1,38.134448,128,36,2,2,3,1,3,3,2,2,0,4.962319,3,4,53,7.8,2,4.7,1,no
1,0,37.5,48,24,2,0,0,0,2,2,0,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,0,no
0,0,37.6,64,21,0,0,1,0,1,2,0,0,0,4.962319,1,4,40,7,0,2.94812,0,yes
1,0,39.4,110,35,3,2,5,0,2,2,2,1,0,4.962319,3,4,55,8.7,1,2.94812,0,no
0,0,39.9,72,60,0,0,4,1,4,3,3,2,0,4.962319,3,3,46,6.1,1,2.94812,0,yes
1,0,38.4,48,16,0,0,0,0,0,2,0,1,2,5.5,3,2,49,6.8,1,2.94812,0,no
0,0,38.6,42,34,1,0,3,0,1,2,0,1,0,4.962319,0,4,48,7.2,1,2.94812,0,yes
0,1,38.3,130,60,2,2,0,0,1,3,0,1,0,4.962319,3,4,50,70,1,2.94812,0,yes
0,0,38.1,60,12,2,2,2,0,2,3,2,2,1,2,3,4,51,65,1,2.94812,0,yes
1,0,37.8,60,42,2,0,0,0,2,2,0,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,0,no
0,0,38.3,72,30,3,2,2,1,2,2,2,1,0,4.962319,2,4,43,7,1,3.9,0,yes
0,0,37.8,48,12,2,0,0,0,2,2,1,0,0,4.962319,0,2,37,5.5,1,1.3,0,no
0,0,38.134448,70.75731,30.521886,2,0,0,0,2,2,0,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,1,no
1,0,37.7,48,30.521886,1,0,0,0,0,0,0,0,0,4.962319,3,4,45,76,1,2.94812,0,no
1,0,37.7,96,30,2,2,3,1,4,3,3,2,1,4,3,4,66,7.5,1,2.94812,1,yes
1,0,37.2,108,12,2,2,3,1,1,3,1,1,2,6,2,2,52,8.2,2,7.4,2,yes
0,0,37.2,60,30.521886,1,0,0,0,2,2,2,1,0,4.962319,3,4,43,6.6,1,2.94812,0,yes
0,0,38.2,64,28,0,0,0,0,2,0,0,1,0,4.962319,3,3,49,8.6,1,6.6,0,yes
0,0,38.134448,100,30,2,2,3,1,4,3,3,2,2,4.962319,3,3,52,6.6,1,2.94812,0,yes
1,0,38.134448,104,24,3,2,2,1,3,3,2,1,2,4.962319,3,1,73,8.4,1,2.94812,2,yes
1,0,38.3,112,16,2,2,4,1,2,2,0,0,1,4.962319,3,4,51,6,1,1,2,no
0,0,37.8,72,30.521886,2,2,0,0,4,2,0,1,0,4.962319,0,0,56,80,0,2,0,yes
1,0,38.6,52,30.521886,0,0,0,0,2,2,1,0,0,4.962319,0,2,32,6.6,0,5,0,no
0,1,39.2,146,96,2,0,0,0,2,2,0,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,1,yes
0,0,38.134448,88,30.521886,2,2,5,1,4,2,2,0,2,4.962319,3,4,63,6.5,2,2.94812,1,yes
1,1,39,150,72,2,0,0,0,2,2,0,1,0,4.962319,3,4,47,8.5,1,0.1,0,yes
1,0,38,60,12,2,0,2,0,2,2,0,0,0,4.962319,1,1,47,7,1,2.94812,0,no
0,0,38.134448,120,30.521886,2,3,3,0,3,3,3,0,0,4.962319,3,4,52,67,1,2,2,yes
0,0,35.4,140,24,2,2,3,1,3,3,0,1,0,4.962319,3,4,57,69,2,2,2,yes
1,0,38.134448,120,30.521886,3,2,3,1,4,3,3,0,0,4.962319,3,4,60,6.5,2,2.94812,1,yes
0,0,37.9,60,15,2,0,3,1,4,3,3,1,1,4.962319,3,4,65,7.5,1,2.94812,0,yes
1,0,37.5,48,16,0,0,0,0,0,0,0,0,0,4.962319,0,4,37,6.5,1,2.94812,0,no
0,0,38.9,80,44,2,2,2,1,1,2,2,1,1,7,2,0,54,6.5,2,2.94812,1,yes
1,0,37.2,84,48,2,2,4,1,3,0,1,0,1,4.962319,1,0,73,5.5,1,4.1,1,no
1,0,38.6,46,30.521886,0,0,1,0,0,2,1,0,0,4.962319,3,1,49,9.1,0,1.6,0,no
0,0,37.4,84,36,0,0,2,1,2,2,1,1,0,4.962319,3,4,45.656798,24.771077,2,2.94812,1,yes
1,0,38.134448,70.75731,30.521886,0,0,2,0,0,2,0,1,0,4.962319,1,1,43,7.7,1,2.94812,0,no
1,0,38.6,40,20,2,0,0,0,2,2,0,1,0,4.962319,3,4,41,6.4,1,2.94812,0,no
1,0,40.3,114,36,2,2,0,1,1,2,2,1,0,7,0,4,57,8.1,2,4.5,2,yes
0,1,38.6,160,20,2,0,4,0,2,2,3,2,0,4.962319,3,4,38,24.771077,1,2.94812,1,yes
0,0,38.134448,70.75731,30.521886,2,0,0,0,2,2,0,1,0,4.962319,3,4,24,6.7,1,2.94812,0,yes
0,0,38.134448,64,36,1,0,1,0,4,2,2,1,1,4.962319,3,4,42,7.7,1,2.94812,1,yes
0,0,38.134448,70.75731,20,3,2,2,0,4,3,2,1,0,4.962319,3,3,53,5.9,2,2.94812,1,yes
1,0,38.134448,96,30.521886,2,2,2,1,4,3,3,0,1,4.962319,3,4,60,24.771077,1,2.94812,1,yes
1,0,37.8,48,32,0,0,2,0,1,0,0,0,0,4.962319,3,4,37,6.7,1,2.94812,0,no
1,0,38.5,60,30.521886,1,1,0,0,0,1,1,1,0,4.962319,0,0,44,7.7,1,2.94812,0,no
0,0,37.8,88,22,1,0,1,0,2,2,0,1,0,4.962319,3,4,64,8,0,6,1,yes
1,0,38.2,130,16,3,2,3,1,1,3,3,0,0,4.962319,3,4,65,82,1,2,2,no
0,0,39,64,36,2,0,3,1,2,2,1,0,1,7,3,4,44,7.5,2,5,0,yes
0,0,38.134448,60,36,2,0,2,0,2,2,1,0,0,4.962319,2,3,26,72,1,1,0,yes
1,0,37.9,72,30.521886,0,0,4,1,2,2,0,0,2,2,2,3,58,74,0,2,0,yes
1,0,38.4,54,24,0,0,0,0,0,2,0,1,0,4.962319,2,1,49,7.2,0,2.94812,0,no
1,0,38.134448,52,16,0,0,2,0,2,2,0,1,2,5.5,3,4,55,7.2,1,2.94812,0,no
1,0,38,48,12,0,0,0,0,0,2,0,0,0,4.962319,2,1,42,6.3,1,4.1,0,no
1,0,37,60,20,2,0,0,0,2,2,2,1,1,4.5,3,3,43,7.6,1,2.94812,2,yes
0,0,37.8,48,28,0,0,0,0,0,1,0,1,0,4.962319,0,0,46,5.9,1,7,0,no
0,0,37.7,56,30.521886,2,0,0,0,2,2,0,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,1,yes
0,0,38.1,52,24,0,0,4,0,3,2,0,1,2,7,0,4,54,7.5,1,2.6,1,yes
0,1,38.134448,70.75731,30.521886,2,0,0,0,2,2,0,1,0,4.962319,3,4,37,4.9,1,2.94812,1,yes
0,1,39.7,100,30.521886,2,2,4,1,1,2,0,1,0,4.962319,3,4,48,57,1,2,2,yes
0,0,37.6,38,20,2,2,0,0,2,2,1,1,0,4.962319,2,4,37,68,1,2.94812,0,yes
1,0,38.7,52,20,1,0,0,0,0,0,0,0,0,4.962319,0,0,33,77,1,2.94812,0,no
0,0,38.134448,70.75731,30.521886,2,2,2,2,4,2,2,2,1,4.962319,3,4,46,5.9,1,2.94812,1,yes
0,0,37.5,96,18,0,2,5,1,2,3,1,1,2,5,3,3,69,8.9,2,2.94812,0,yes
0,0,36.4,98,35,2,2,3,0,3,2,1,1,0,4.962319,3,3,47,6.4,2,3.6,1,yes
0,0,37.3,40,30.521886,2,2,0,0,1,2,1,2,0,4.962319,2,4,36,24.771077,2,2,0,yes
0,1,38.1,100,80,2,0,1,0,2,3,0,1,0,4.962319,0,4,36,5.7,1,2.94812,0,yes
0,0,38,70.75731,24,2,2,5,1,4,2,3,0,0,4.962319,3,4,68,7.8,1,2.94812,1,yes
0,0,37.8,60,80,0,2,1,1,1,2,2,1,1,5.5,3,4,40,4.5,1,2.94812,0,yes
1,0,38,54,30,1,2,2,2,2,0,1,1,1,4.962319,3,3,45,6.2,1,2.94812,0,no
0,0,38.134448,88,40,2,2,3,1,4,3,2,2,0,4.962319,3,4,50,7.7,2,1.4,1,yes
1,0,38.134448,40,16,2,0,0,0,2,2,0,1,0,4.962319,3,4,50,7,1,3.9,2,yes
1,0,39,64,40,0,0,4,0,2,2,1,1,0,4.962319,2,2,42,7.5,1,2.3,0,no
1,0,38.3,42,10,0,0,0,0,0,0,0,1,0,4.962319,3,4,38,61,1,2.94812,0,no
1,0,38,52,16,2,0,0,0,1,2,0,1,2,1,0,0,53,86,1,2.94812,0,yes
1,0,40.3,114,36,2,2,0,1,1,2,2,1,0,7,0,4,57,8.1,2,4.5,1,yes
1,0,38.8,50,20,2,0,0,0,0,0,0,1,0,4.962319,2,0,42,6.2,1,2.94812,0,no
1,0,38.134448,70.75731,30.521886,2,2,0,0,4,2,2,0,0,4.962319,3,4,38,6.5,1,2.94812,1,yes
1,0,37.5,48,30,3,0,2,0,2,1,0,0,0,4.962319,0,0,48,8.6,1,2.94812,0,no
0,0,37.3,48,20,2,0,1,0,2,2,2,1,0,4.962319,2,4,41,69,1,2.94812,0,yes
1,0,38.134448,84,36,2,0,2,0,2,2,0,1,0,4.962319,2,1,44,8.5,1,2.94812,0,yes
0,0,38.1,88,32,2,2,3,0,1,2,2,1,2,1,3,4,55,60,1,2.94812,2,no
1,0,37.7,44,40,1,0,2,0,0,2,1,0,0,4.962319,0,4,41,60,1,2.94812,0,no
1,0,39.6,108,51,2,2,5,1,1,3,2,0,1,4.962319,2,4,59,8,1,2.6,0,no
0,0,38.2,40,16,2,2,0,0,0,2,0,1,0,4.962319,0,0,34,66,1,2.94812,0,no
0,0,38.134448,60,20,3,2,3,1,4,3,0,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,2,yes
1,0,38.3,40,16,2,0,0,0,1,2,0,1,0,4.962319,3,4,37,57,1,2.94812,0,no
0,1,38,140,68,0,0,0,0,2,2,1,1,0,4.962319,1,0,39,5.3,1,2.94812,0,yes
0,0,37.8,52,24,0,2,2,0,3,3,0,1,2,5.7,1,4,48,6.6,0,3.7,1,yes
0,0,38.134448,70,36,0,0,2,1,1,2,1,1,0,4.962319,3,4,36,7.3,1,2.94812,0,yes
0,0,38.3,52,96,2,2,2,0,2,2,0,0,0,4.962319,0,4,43,6.1,1,2.94812,0,yes
1,0,37.3,50,32,0,0,2,0,0,2,1,1,0,4.962319,0,4,44,7,1,2.94812,0,no
0,0,38.7,60,32,3,2,1,1,3,3,3,1,0,4.962319,3,4,53,64,2,2,2,yes
0,1,38.4,84,40,2,2,1,0,2,2,2,0,0,4.962319,3,4,36,6.6,1,2.8,1,yes
0,0,38.134448,70,16,2,3,4,1,1,2,1,1,0,4.962319,3,4,60,7.5,1,2.94812,1,yes
0,0,38.3,40,16,2,0,0,0,0,2,1,1,0,4.962319,3,4,38,58,0,2,0,yes
0,0,38.134448,40,30.521886,1,0,0,0,0,2,0,0,0,4.962319,3,4,39,56,1,2.94812,0,yes
0,0,36.8,60,28,2,0,0,0,2,2,0,1,0,4.962319,3,4,45.656798,24.771077,1,10,1,yes
0,0,38.4,44,24,2,0,3,0,4,3,2,1,0,4.962319,3,4,50,77,1,2.94812,0,yes
1,0,38.134448,70.75731,40,2,0,0,0,2,2,1,1,0,4.962319,3,4,45,70,1,2.94812,0,no
0,0,38,44,12,0,0,0,0,2,2,2,1,0,4.962319,3,4,42,65,1,2.94812,0,yes
